DT,Measurement
2022-12-20 15:00:00,6.466634166666666
2022-12-20 16:00:00,6.3063183333333335
2022-12-20 17:00:00,6.5210825
2022-12-20 18:00:00,6.640534166666667
2022-12-20 19:00:00,6.928815833333333
2022-12-20 20:00:00,7.2576366666666665
2022-12-20 21:00:00,7.258183333333333
2022-12-20 22:00:00,6.888940000000001
2022-12-20 23:00:00,5.9474841666666665
2022-12-21 00:00:00,6.307706666666666
2022-12-21 01:00:00,5.405175
2022-12-21 02:00:00,3.9615641666666668
2022-12-21 03:00:00,3.553565
2022-12-21 04:00:00,3.1997875
2022-12-21 05:00:00,3.316055833333333
2022-12-21 06:00:00,3.1185866666666664
2022-12-21 07:00:00,4.354378333333333
2022-12-21 08:00:00,6.1147675
2022-12-21 09:00:00,7.0790766666666665
2022-12-21 10:00:00,7.389530833333334
2022-12-21 11:00:00,7.3472275
2022-12-21 12:00:00,7.0658216666666664
2022-12-21 13:00:00,6.808670833333333
2022-12-21 14:00:00,6.630811666666667
2022-12-21 15:00:00,6.513739166666666
2022-12-21 16:00:00,6.2794783333333335
2022-12-21 17:00:00,6.268271666666666
2022-12-21 18:00:00,6.51611512605042
2022-12-21 19:00:00,6.778719166666666
2022-12-21 20:00:00,6.985775833333333
2022-12-21 21:00:00,6.891783333333334
2022-12-21 22:00:00,6.610844166666666
2022-12-21 23:00:00,5.946331666666667
2022-12-22 00:00:00,6.20957
2022-12-22 01:00:00,5.285751666666667
2022-12-22 02:00:00,4.0158233333333335
2022-12-22 03:00:00,3.459004166666667
2022-12-22 04:00:00,3.3650658333333334
2022-12-22 05:00:00,3.3441241666666666
2022-12-22 06:00:00,3.037805833333333
2022-12-22 07:00:00,4.2498016666666665
2022-12-22 08:00:00,6.054985833333333
2022-12-22 09:00:00,6.6684874999999995
2022-12-22 10:00:00,7.13798
2022-12-22 11:00:00,7.404270833333333
2022-12-22 12:00:00,7.189732500000001
2022-12-22 13:00:00,7.0875
2022-12-22 14:00:00,6.7271350000000005
2022-12-22 15:00:00,6.532555
2022-12-22 16:00:00,6.3824375
2022-12-22 17:00:00,6.316346666666666
2022-12-22 18:00:00,6.464179166666667
2022-12-22 19:00:00,6.686236666666667
2022-12-22 20:00:00,6.631482500000001
2022-12-22 21:00:00,6.537925833333333
2022-12-22 22:00:00,6.347095833333333
2022-12-22 23:00:00,5.8864865546218486
2022-12-23 00:00:00,6.3517825
2022-12-23 01:00:00,5.616593333333333
2022-12-23 02:00:00,4.399205833333334
2022-12-23 03:00:00,3.6428066666666665
2022-12-23 04:00:00,3.369515
2022-12-23 05:00:00,3.3243650000000002
2022-12-23 06:00:00,2.9476483333333334
2022-12-23 07:00:00,3.6438983333333335
2022-12-23 08:00:00,5.345024166666667
2022-12-23 09:00:00,6.712055833333333
2022-12-23 10:00:00,7.634905
2022-12-23 11:00:00,8.131695833333334
2022-12-23 12:00:00,8.090185833333333
2022-12-23 13:00:00,7.7341066666666665
2022-12-23 14:00:00,7.3703658333333335
2022-12-23 15:00:00,7.283521666666667
2022-12-23 16:00:00,6.965941666666667
2022-12-23 17:00:00,6.838550833333333
2022-12-23 18:00:00,6.820664166666666
2022-12-23 19:00:00,6.805173333333333
2022-12-23 20:00:00,6.568654166666667
2022-12-23 21:00:00,6.481906666666666
2022-12-23 22:00:00,6.2980675
2022-12-23 23:00:00,5.78606
2022-12-24 00:00:00,6.58402
2022-12-24 01:00:00,5.964048333333333
2022-12-24 02:00:00,4.653084166666667
2022-12-24 03:00:00,3.782349166666667
2022-12-24 04:00:00,3.4068183333333333
2022-12-24 05:00:00,3.1540546218487395
2022-12-24 06:00:00,3.2328633333333334
2022-12-24 07:00:00,3.9010891666666665
2022-12-24 08:00:00,4.4607025
2022-12-24 09:00:00,6.380355
2022-12-24 10:00:00,8.108850833333333
2022-12-24 11:00:00,8.778413333333333
2022-12-24 12:00:00,8.9015175
2022-12-24 13:00:00,8.814525
2022-12-24 14:00:00,8.454124166666666
2022-12-24 15:00:00,8.295098333333334
2022-12-24 16:00:00,8.569299166666667
2022-12-24 17:00:00,7.626989166666666
2022-12-24 18:00:00,7.418005833333334
2022-12-24 19:00:00,7.249504166666667
2022-12-24 20:00:00,6.302485
2022-12-24 21:00:00,5.208508333333333
2022-12-24 22:00:00,5.810109166666666
2022-12-24 23:00:00,5.097620833333334
2022-12-25 00:00:00,5.489043333333333
2022-12-25 01:00:00,4.9065925
2022-12-25 02:00:00,4.711679166666666
2022-12-25 03:00:00,3.896761666666667
2022-12-25 04:00:00,3.3885758333333333
2022-12-25 05:00:00,3.0831475000000004
2022-12-25 06:00:00,2.3849416666666667
2022-12-25 07:00:00,2.8868658333333332
2022-12-25 08:00:00,3.553224166666667
2022-12-25 09:00:00,5.956081666666666
2022-12-25 10:00:00,7.1327875
2022-12-25 11:00:00,7.355521008403361
2022-12-25 12:00:00,7.544016666666667
2022-12-25 13:00:00,7.7584583333333335
2022-12-25 14:00:00,7.4635316666666665
2022-12-25 15:00:00,7.93602
2022-12-25 16:00:00,6.746031666666667
2022-12-25 17:00:00,6.498723333333333
2022-12-25 18:00:00,6.004896666666666
2022-12-25 19:00:00,5.7625874999999995
2022-12-25 20:00:00,5.9148
2022-12-25 21:00:00,6.1855025
2022-12-25 22:00:00,5.750114999999999
2022-12-25 23:00:00,5.742813333333333
2022-12-26 00:00:00,5.389065
2022-12-26 01:00:00,4.736955
2022-12-26 02:00:00,4.172373333333334
2022-12-26 03:00:00,3.6117858333333337
2022-12-26 04:00:00,3.260409166666667
